Student_ID,Age,Gender,City,Education_Level,Employment_Status,Course_Name,Course_Category,Course_Fee_INR,Device_Used,Enrollment_Date,Time_Spent_Hours,Videos_Watched,Assignments_Submitted,Quiz_Score,Login_Frequency_Per_Month,Completion_Status,Certificate_Earned,Course_Rating,Feedback_Sentiment
STU0016,25,Male,Delhi,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,06-04-2023,108,1,7,46,22,Completed,No,4.4,Positive
STU0017,41,Male,Hyderabad,Bachelor's,Working Professional,Data Science with Python,Data Analytics,4999,Mobile,12-08-2023,103,12,18,33,26,Completed,Yes,3.6,Positive
STU0018,20,Male,Chennai,Master's,Working Professional,Digital Marketing Analytics,Marketing,3999,Desktop,27-08-2023,116,44,19,99,19,Completed,Yes,4.1,Positive
STU0019,39,Male,Mumbai,Master's,Working Professional,Power BI Masterclass,BI Tools,3499,Mobile,01-06-2024,9,29,14,65,12,Dropped,No,,Negative
STU0020,38,Female,Delhi,Master's,Student,Statistics for Data Science,Data Analytics,3999,Desktop,08-09-2024,63,33,2,95,12,Completed,Yes,4.1,Positive
STU0021,19,Female,Pune,Master's,Working Professional,Statistics for Data Science,Data Analytics,3999,Desktop,28-01-2023,105,29,5,29,15,Completed,Yes,4.8,Positive
STU0022,41,Male,Pune,Master's,Job Seeker,Python for Beginners,Programming,1999,Mobile,28-07-2024,72,23,7,43,28,Completed,Yes,3.8,Positive
STU0023,29,Male,Delhi,Bachelor's,Student,Excel for Analytics,BI Tools,1499,Desktop,23-07-2023,78,47,15,80,7,Completed,Yes,3.7,Positive
STU0024,23,Female,Ahmedabad,Master's,Working Professional,Python for Beginners,Programming,1999,Desktop,27-10-2024,33,43,14,37,27,Dropped,No,,Negative
STU0025,19,Male,Delhi,High School,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,12-07-2024,87,32,12,28,4,Dropped,No,,Negative
STU0026,38,Male,Mumbai,Master's,Job Seeker,Digital Marketing Analytics,Marketing,3999,Mobile,05-03-2024,21,40,19,36,21,Dropped,No,,Neutral
STU0027,18,Female,Delhi,Bachelor's,Student,SQL Fundamentals,Data Analytics,2499,Mobile,14-08-2023,55,48,14,77,9,Completed,Yes,4.5,Negative
STU0028,29,Female,Mumbai,Bachelor's,Job Seeker,SQL Fundamentals,Data Analytics,2499,Mobile,04-04-2024,76,9,17,32,22,Dropped,No,,Negative
STU0029,43,Female,Pune,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Mobile,26-08-2024,57,17,12,69,16,Dropped,No,,Negative
STU0030,39,Female,Delhi,Master's,Job Seeker,Power BI Masterclass,BI Tools,3499,Mobile,12-10-2023,2,18,7,25,26,Dropped,No,,Negative
STU0031,29,Female,Hyderabad,High School,Job Seeker,SQL Fundamentals,Data Analytics,2499,Mobile,07-01-2023,13,6,13,70,13,Dropped,No,,Neutral
STU0032,42,Female,Kolkata,Master's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,13-06-2023,4,18,10,55,4,Dropped,No,,Negative
STU0033,34,Male,Hyderabad,Master's,Student,SQL Fundamentals,Data Analytics,2499,Mobile,08-03-2024,84,23,5,90,24,Completed,Yes,3.3,Positive
STU0034,44,Male,Pune,Bachelor's,Student,Web Development with HTML/CSS,Programming,2999,Mobile,15-12-2023,50,14,0,44,9,Dropped,No,,Neutral
STU0035,44,Male,Mumbai,Master's,Working Professional,Data Science with Python,Data Analytics,4999,Mobile,12-10-2023,115,40,1,30,26,Completed,Yes,3.1,Neutral
STU0036,27,Male,Hyderabad,Master's,Student,Python for Beginners,Programming,1999,Tablet,09-06-2023,48,41,12,63,21,Completed,Yes,4.9,Positive
STU0037,33,Female,Mumbai,Bachelor's,Student,Machine Learning Basics,AI/ML,5999,Mobile,09-08-2023,78,22,0,33,18,Dropped,No,,Negative
STU0038,32,Male,Hyderabad,Bachelor's,Working Professional,Digital Marketing Analytics,Marketing,3999,Desktop,11-12-2023,30,3,3,48,15,Dropped,No,,Negative
STU0039,32,Male,Hyderabad,Bachelor's,Student,Python for Beginners,Programming,1999,Mobile,15-04-2023,29,37,1,93,15,Completed,Yes,3.2,Positive
STU0040,36,Male,Mumbai,Bachelor's,Student,Statistics for Data Science,Data Analytics,3999,Tablet,05-04-2023,8,3,19,69,6,Dropped,No,,Negative
STU0041,29,Male,Chennai,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,25-01-2024,12,4,15,24,11,Dropped,No,,Neutral
STU0042,40,Female,Hyderabad,Master's,Student,SQL Fundamentals,Data Analytics,2499,Tablet,10-04-2023,41,40,2,91,28,Completed,Yes,4.8,Neutral
STU0043,37,Male,Delhi,High School,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,03-01-2024,102,43,16,88,8,Completed,Yes,4.3,Positive
STU0044,42,Female,Kolkata,Master's,Working Professional,Power BI Masterclass,BI Tools,3499,Mobile,19-12-2023,26,22,4,76,29,Completed,Yes,4.5,Neutral
STU0045,20,Male,Pune,Bachelor's,Working Professional,Python for Beginners,Programming,1999,Desktop,10-09-2024,50,39,7,45,21,Completed,Yes,3.4,Positive
STU0046,22,Female,Chennai,Bachelor's,Job Seeker,Business Intelligence,BI Tools,4499,Desktop,28-09-2023,2,36,11,25,17,Dropped,No,,Negative
STU0047,36,Female,Mumbai,Master's,Working Professional,SQL Fundamentals,Data Analytics,2499,Mobile,14-02-2023,55,10,11,35,24,Dropped,No,,Negative
STU0048,24,Male,Chennai,Master's,Working Professional,Statistics for Data Science,Data Analytics,3999,Desktop,15-04-2024,104,10,0,79,25,Completed,Yes,4.7,Positive
STU0049,38,Female,Bangalore,Bachelor's,Working Professional,Power BI Masterclass,BI Tools,3499,Tablet,03-07-2024,56,12,0,31,17,Dropped,No,,Negative
STU0050,26,Male,Bangalore,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Desktop,08-05-2023,14,13,14,94,24,Dropped,No,,Negative
STU0051,24,Male,Hyderabad,Bachelor's,Job Seeker,Power BI Masterclass,BI Tools,3499,Mobile,23-01-2024,6,7,16,22,26,Dropped,No,,Negative
STU0052,35,Female,Hyderabad,High School,Job Seeker,Python for Beginners,Programming,1999,Desktop,22-03-2023,106,24,1,82,28,Completed,Yes,3.5,Negative
STU0053,21,Male,Delhi,Bachelor's,Working Professional,Excel for Analytics,BI Tools,1499,Desktop,19-07-2024,104,17,16,83,18,Completed,Yes,4.1,Positive
STU0054,42,Male,Kolkata,Bachelor's,Student,Excel for Analytics,BI Tools,1499,Desktop,28-10-2023,95,43,19,81,4,Completed,Yes,3.5,Positive
STU0055,31,Female,Pune,Bachelor's,Student,Web Development with HTML/CSS,Programming,2999,Desktop,05-10-2024,81,43,8,25,29,Completed,Yes,3.2,Positive
STU0056,35,Male,Chennai,Master's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,25-09-2024,89,17,11,38,15,Dropped,No,,Neutral
STU0057,43,Female,Bangalore,Bachelor's,Job Seeker,Power BI Masterclass,BI Tools,3499,Tablet,06-01-2024,61,9,3,37,2,Dropped,No,,Neutral
STU0058,26,Male,Hyderabad,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Mobile,14-08-2024,96,6,12,99,2,Completed,Yes,4.5,Positive
STU0059,43,Female,Ahmedabad,Bachelor's,Freelancer,Power BI Masterclass,BI Tools,3499,Mobile,16-07-2023,12,49,3,62,10,Dropped,No,,Neutral
STU0060,38,Female,Ahmedabad,Master's,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,13-03-2023,113,43,6,92,3,Completed,No,3.5,Positive
STU0061,19,Female,Pune,Master's,Job Seeker,Machine Learning Basics,AI/ML,5999,Desktop,16-02-2023,13,13,13,22,8,Dropped,No,,Neutral
STU0062,37,Female,Chennai,Bachelor's,Student,Power BI Masterclass,BI Tools,3499,Mobile,08-11-2024,19,14,8,91,20,Dropped,No,,Negative
STU0063,32,Male,Hyderabad,Master's,Student,SQL Fundamentals,Data Analytics,2499,Desktop,22-08-2023,44,15,0,57,7,Dropped,No,,Negative
STU0064,24,Female,Hyderabad,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,24-10-2023,112,1,0,87,12,Completed,Yes,3.1,Positive
STU0065,29,Male,Bangalore,Bachelor's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,23-03-2023,89,29,19,95,26,Completed,Yes,4.8,Neutral
STU0066,25,Male,Bangalore,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,27-08-2023,95,29,3,63,19,Completed,Yes,3.5,Positive
STU0067,32,Male,Hyderabad,Bachelor's,Job Seeker,Machine Learning Basics,AI/ML,5999,Mobile,14-04-2023,59,17,0,99,26,Completed,Yes,3.5,Negative
STU0068,20,Female,Mumbai,Master's,Student,Statistics for Data Science,Data Analytics,3999,Mobile,25-01-2024,37,30,9,82,28,Completed,Yes,3.2,Positive
STU0069,31,Male,Hyderabad,Master's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,12-10-2023,25,43,1,61,15,Dropped,No,,Neutral
STU0070,34,Female,Pune,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Tablet,09-04-2024,16,47,14,83,14,Completed,Yes,3.7,Positive
STU0071,21,Female,Hyderabad,Bachelor's,Student,Machine Learning Basics,AI/ML,5999,Mobile,12-10-2024,38,12,2,73,16,Dropped,No,,Negative
STU0072,35,Female,Delhi,Bachelor's,Job Seeker,Statistics for Data Science,Data Analytics,3999,Mobile,09-01-2024,43,19,8,97,29,Completed,Yes,3.9,Positive
STU0073,25,Male,Kolkata,Bachelor's,Freelancer,Data Science with Python,Data Analytics,4999,Desktop,16-06-2023,113,48,16,96,27,Completed,No,4.4,Neutral
STU0074,21,Female,Delhi,Bachelor's,Freelancer,SQL Fundamentals,Data Analytics,2499,Desktop,15-01-2024,87,49,12,90,14,Completed,Yes,3.3,Positive
STU0075,19,Male,Delhi,Bachelor's,Job Seeker,Data Science with Python,Data Analytics,4999,Mobile,30-12-2023,14,34,2,95,3,Dropped,No,,Neutral
STU0076,23,Male,Mumbai,Bachelor's,Freelancer,SQL Fundamentals,Data Analytics,2499,Desktop,03-08-2023,6,22,3,56,18,Dropped,No,,Neutral
STU0077,39,Male,Mumbai,Bachelor's,Student,Python for Beginners,Programming,1999,Mobile,17-11-2024,89,41,3,23,29,Completed,Yes,4.9,Positive
STU0078,27,Male,Ahmedabad,Bachelor's,Freelancer,Digital Marketing Analytics,Marketing,3999,Tablet,01-10-2023,23,32,10,21,28,Dropped,No,,Neutral
STU0079,21,Female,Hyderabad,Bachelor's,Working Professional,Machine Learning Basics,AI/ML,5999,Mobile,30-11-2024,60,37,6,63,22,Completed,No,5,Negative
STU0080,39,Female,Delhi,Master's,Student,Data Science with Python,Data Analytics,4999,Mobile,25-10-2024,107,34,10,86,6,Completed,Yes,3.3,Positive
STU0081,35,Male,Mumbai,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,15-03-2023,12,35,10,87,17,Dropped,No,,Negative
STU0082,43,Male,Bangalore,PhD,Freelancer,Machine Learning Basics,AI/ML,5999,Mobile,15-09-2024,13,19,9,95,23,Dropped,No,,Negative
STU0083,29,Male,Hyderabad,Bachelor's,Freelancer,Web Development with HTML/CSS,Programming,2999,Desktop,12-10-2024,100,2,4,93,28,Completed,Yes,4.3,Neutral
STU0084,19,Male,Pune,Master's,Student,Python for Beginners,Programming,1999,Mobile,25-06-2023,103,7,12,81,14,Completed,Yes,4.8,Negative
STU0085,27,Female,Kolkata,Master's,Freelancer,Web Development with HTML/CSS,Programming,2999,Mobile,30-06-2024,98,39,11,20,14,Completed,Yes,4,Neutral
STU0086,21,Male,Chennai,Master's,Job Seeker,SQL Fundamentals,Data Analytics,2499,Desktop,08-09-2023,6,31,9,36,20,Dropped,No,,Negative
STU0087,31,Male,Hyderabad,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Desktop,17-06-2023,63,28,6,35,13,Dropped,No,,Negative
STU0088,33,Male,Chennai,Master's,Student,Machine Learning Basics,AI/ML,5999,Mobile,18-04-2024,38,6,18,28,27,Dropped,No,,Negative
STU0089,32,Female,Delhi,Bachelor's,Freelancer,Power BI Masterclass,BI Tools,3499,Mobile,24-01-2024,50,1,18,72,28,Dropped,No,,Negative
STU0090,25,Female,Kolkata,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,04-10-2023,52,20,18,92,3,Dropped,No,,Neutral
STU0091,31,Female,Chennai,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,17-10-2024,40,5,11,78,13,Dropped,No,,Negative
STU0092,40,Female,Delhi,Bachelor's,Student,Statistics for Data Science,Data Analytics,3999,Mobile,24-07-2024,8,27,19,28,29,Dropped,No,,Negative
STU0093,42,Female,Bangalore,High School,Working Professional,Data Science with Python,Data Analytics,4999,Desktop,13-08-2023,61,47,14,31,24,Completed,Yes,4.3,Positive
STU0094,25,Male,Chennai,Master's,Freelancer,Machine Learning Basics,AI/ML,5999,Desktop,29-11-2023,8,41,4,60,2,Dropped,No,,Neutral
STU0095,38,Female,Kolkata,Master's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,27-02-2023,104,35,13,34,9,Completed,Yes,4.5,Positive
STU0096,33,Female,Ahmedabad,Bachelor's,Job Seeker,Excel for Analytics,BI Tools,1499,Mobile,23-08-2023,97,31,11,85,13,Completed,Yes,3.6,Negative
STU0097,30,Female,Hyderabad,Master's,Job Seeker,Statistics for Data Science,Data Analytics,3999,Mobile,02-02-2023,34,44,10,94,8,Completed,Yes,3.6,Positive
STU0098,35,Female,Delhi,Bachelor's,Freelancer,SQL Fundamentals,Data Analytics,2499,Mobile,20-11-2023,108,41,4,30,16,Completed,Yes,3.1,Neutral
STU0099,32,Female,Hyderabad,PhD,Working Professional,Digital Marketing Analytics,Marketing,3999,Mobile,15-02-2024,79,45,15,27,24,Completed,Yes,4.5,Neutral
STU0100,38,Female,Kolkata,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Tablet,02-10-2023,100,8,17,74,29,Completed,Yes,4.3,Negative
STU0101,41,Other,Mumbai,Bachelor's,Working Professional,Excel for Analytics,BI Tools,1499,Desktop,09-03-2023,60,10,11,25,3,Dropped,No,,Negative
STU0102,43,Female,Delhi,Master's,Student,Digital Marketing Analytics,Marketing,3999,Tablet,05-08-2023,57,22,4,72,13,Dropped,No,,Negative
STU0103,42,Female,Chennai,Master's,Job Seeker,Statistics for Data Science,Data Analytics,3999,Desktop,03-08-2024,99,49,15,39,4,Completed,No,3.5,Positive
STU0104,30,Female,Delhi,Master's,Working Professional,Digital Marketing Analytics,Marketing,3999,Desktop,19-11-2023,46,10,11,58,18,Dropped,No,,Neutral
STU0105,26,Male,Hyderabad,PhD,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,06-08-2023,22,48,1,91,2,Dropped,No,,Negative
STU0106,32,Female,Bangalore,Master's,Student,Data Science with Python,Data Analytics,4999,Mobile,02-11-2024,87,1,5,53,20,Dropped,No,,Negative
STU0107,30,Male,Delhi,Bachelor's,Freelancer,Business Intelligence,BI Tools,4499,Desktop,26-05-2024,40,2,3,76,22,Dropped,No,,Negative
STU0108,18,Female,Chennai,Master's,Job Seeker,Data Science with Python,Data Analytics,4999,Tablet,10-02-2024,45,10,12,38,21,Dropped,No,,Negative
STU0109,42,Other,Mumbai,Master's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,20-10-2024,55,49,9,90,15,Completed,No,4.5,Positive
STU0110,24,Female,Ahmedabad,Bachelor's,Job Seeker,Power BI Masterclass,BI Tools,3499,Desktop,14-04-2024,51,34,16,50,17,Dropped,No,,Negative
STU0111,26,Male,Pune,Master's,Student,Data Science with Python,Data Analytics,4999,Mobile,27-05-2023,86,14,13,59,29,Completed,Yes,4.7,Positive
STU0112,41,Male,Bangalore,Bachelor's,Working Professional,Statistics for Data Science,Data Analytics,3999,Desktop,29-09-2023,5,42,14,33,10,Dropped,No,,Neutral
STU0113,18,Male,Ahmedabad,Master's,Job Seeker,Python for Beginners,Programming,1999,Tablet,23-05-2023,95,10,7,56,1,Dropped,No,,Neutral
STU0114,29,Female,Mumbai,Master's,Working Professional,Power BI Masterclass,BI Tools,3499,Desktop,10-09-2023,13,30,17,63,6,Dropped,No,,Neutral
STU0115,25,Male,Delhi,Master's,Job Seeker,Business Intelligence,BI Tools,4499,Desktop,28-07-2024,28,27,2,28,3,Dropped,No,,Negative
STU0116,41,Male,Hyderabad,Master's,Student,Business Intelligence,BI Tools,4499,Desktop,05-07-2024,84,27,16,77,19,Completed,Yes,3.1,Positive
STU0117,28,Male,Kolkata,Master's,Student,Power BI Masterclass,BI Tools,3499,Desktop,27-09-2023,97,31,6,39,7,Dropped,No,,Neutral
STU0118,36,Female,Hyderabad,Bachelor's,Job Seeker,Business Intelligence,BI Tools,4499,Tablet,21-08-2024,80,24,12,69,13,Completed,Yes,4.8,Negative
STU0119,34,Female,Ahmedabad,Master's,Student,Machine Learning Basics,AI/ML,5999,Desktop,14-03-2024,62,19,15,39,13,Dropped,No,,Negative
STU0120,25,Male,Chennai,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Desktop,20-08-2024,93,27,4,55,17,Completed,Yes,3.8,Positive
STU0121,20,Male,Hyderabad,Bachelor's,Job Seeker,Statistics for Data Science,Data Analytics,3999,Desktop,13-02-2024,87,24,3,46,1,Dropped,No,,Neutral
STU0122,20,Female,Bangalore,Bachelor's,Student,Machine Learning Basics,AI/ML,5999,Desktop,06-01-2024,24,10,9,91,14,Dropped,No,,Neutral
STU0123,18,Female,Hyderabad,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Desktop,13-08-2023,98,18,12,51,29,Completed,Yes,4.7,Positive
STU0124,44,Female,Chennai,Bachelor's,Student,Data Science with Python,Data Analytics,4999,Desktop,22-05-2023,7,27,9,20,26,Dropped,No,,Neutral
STU0125,22,Male,Pune,Master's,Working Professional,Machine Learning Basics,AI/ML,5999,Desktop,05-06-2024,38,0,13,36,3,Dropped,No,,Negative
STU0126,27,Female,Delhi,Bachelor's,Student,Data Science with Python,Data Analytics,4999,Mobile,20-05-2024,37,4,11,28,14,Dropped,No,,Neutral
STU0127,24,Male,Kolkata,Bachelor's,Student,Power BI Masterclass,BI Tools,3499,Mobile,04-04-2023,68,9,0,64,24,Completed,Yes,4.9,Positive
STU0128,43,Female,Ahmedabad,High School,Working Professional,Digital Marketing Analytics,Marketing,3999,Mobile,18-02-2023,98,41,19,85,1,Completed,Yes,3.1,Neutral
STU0129,26,Female,Delhi,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Mobile,23-04-2023,42,45,19,51,16,Dropped,No,,Negative
STU0130,24,Male,Hyderabad,Bachelor's,Job Seeker,Business Intelligence,BI Tools,4499,Mobile,06-06-2023,86,33,6,64,10,Completed,Yes,4.7,Negative
STU0131,26,Male,Mumbai,High School,Job Seeker,Web Development with HTML/CSS,Programming,2999,Desktop,04-10-2024,5,35,8,28,13,Dropped,No,,Negative
STU0132,25,Female,Delhi,Bachelor's,Freelancer,Python for Beginners,Programming,1999,Mobile,13-06-2023,64,1,7,49,4,Dropped,No,,Negative
STU0133,29,Female,Pune,Bachelor's,Working Professional,Data Science with Python,Data Analytics,4999,Mobile,27-11-2024,50,17,12,57,9,Dropped,No,,Negative
STU0134,19,Female,Hyderabad,High School,Job Seeker,Machine Learning Basics,AI/ML,5999,Desktop,08-03-2024,106,12,13,79,14,Completed,Yes,4.6,Positive
STU0135,18,Female,Kolkata,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Tablet,02-09-2024,87,4,11,20,4,Dropped,No,,Neutral
STU0136,33,Female,Chennai,Bachelor's,Freelancer,SQL Fundamentals,Data Analytics,2499,Desktop,07-03-2023,118,19,7,24,10,Dropped,No,,Negative
STU0137,40,Female,Pune,Master's,Job Seeker,Business Intelligence,BI Tools,4499,Tablet,30-01-2024,15,1,17,82,8,Dropped,No,,Negative
STU0138,40,Male,Hyderabad,Master's,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,26-01-2024,95,10,15,55,23,Completed,Yes,3.4,Neutral
STU0139,41,Female,Pune,Bachelor's,Working Professional,Machine Learning Basics,AI/ML,5999,Mobile,02-09-2024,73,29,10,84,3,Completed,Yes,4.5,Negative
STU0140,22,Male,Delhi,PhD,Job Seeker,Machine Learning Basics,AI/ML,5999,Desktop,24-04-2024,107,31,15,97,23,Completed,Yes,4.7,Positive
STU0141,20,Male,Kolkata,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Desktop,25-06-2024,53,31,13,92,7,Completed,Yes,3.6,Positive
STU0142,29,Other,Chennai,Bachelor's,Freelancer,Excel for Analytics,BI Tools,1499,Mobile,15-09-2023,25,49,2,43,10,Dropped,No,,Negative
STU0143,25,Male,Hyderabad,PhD,Student,Statistics for Data Science,Data Analytics,3999,Mobile,20-07-2024,89,37,1,23,3,Dropped,No,,Negative
STU0144,39,Male,Bangalore,Bachelor's,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,12-01-2023,113,27,2,97,2,Completed,Yes,3.1,Neutral
STU0145,44,Male,Ahmedabad,Master's,Student,Web Development with HTML/CSS,Programming,2999,Mobile,27-11-2024,85,9,3,87,15,Completed,No,3.6,Negative
STU0146,20,Female,Chennai,High School,Freelancer,Statistics for Data Science,Data Analytics,3999,Desktop,28-04-2023,9,21,4,44,9,Dropped,No,,Neutral
STU0147,18,Male,Bangalore,Bachelor's,Student,SQL Fundamentals,Data Analytics,2499,Mobile,29-11-2024,119,16,9,93,15,Completed,Yes,4.2,Neutral
STU0148,20,Male,Pune,High School,Job Seeker,Excel for Analytics,BI Tools,1499,Desktop,03-07-2024,112,21,19,26,17,Completed,Yes,4.9,Positive
STU0149,22,Male,Mumbai,Master's,Student,Web Development with HTML/CSS,Programming,2999,Desktop,01-10-2023,38,42,1,32,7,Dropped,No,,Neutral
STU0150,32,Male,Chennai,Bachelor's,Student,SQL Fundamentals,Data Analytics,2499,Mobile,18-10-2024,22,18,11,87,20,Dropped,No,,Negative
STU0151,31,Male,Pune,Master's,Working Professional,Statistics for Data Science,Data Analytics,3999,Mobile,15-12-2023,107,16,4,62,18,Completed,Yes,3.7,Positive
STU0152,20,Male,Bangalore,Bachelor's,Freelancer,Data Science with Python,Data Analytics,4999,Desktop,25-04-2023,87,23,4,76,15,Completed,Yes,3.9,Negative
STU0153,18,Female,Delhi,Bachelor's,Student,Machine Learning Basics,AI/ML,5999,Desktop,28-10-2023,49,35,0,55,18,Dropped,No,,Neutral
STU0154,22,Male,Delhi,High School,Working Professional,Digital Marketing Analytics,Marketing,3999,Desktop,21-03-2024,68,31,3,33,24,Completed,Yes,4.3,Neutral
STU0155,43,Male,Mumbai,Bachelor's,Working Professional,Power BI Masterclass,BI Tools,3499,Desktop,11-06-2023,93,45,11,91,23,Completed,Yes,4,Positive
STU0156,40,Male,Ahmedabad,Master's,Student,Business Intelligence,BI Tools,4499,Desktop,09-04-2024,15,35,11,46,12,Dropped,No,,Negative
STU0157,31,Male,Chennai,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,04-01-2023,65,27,15,56,23,Completed,Yes,4.8,Positive
STU0158,24,Female,Chennai,Master's,Job Seeker,Web Development with HTML/CSS,Programming,2999,Mobile,27-09-2023,54,13,16,90,21,Completed,Yes,3.3,Positive
STU0159,44,Female,Chennai,Master's,Working Professional,Web Development with HTML/CSS,Programming,2999,Mobile,27-05-2024,30,35,9,95,26,Completed,Yes,4,Positive
STU0160,26,Male,Ahmedabad,Bachelor's,Student,SQL Fundamentals,Data Analytics,2499,Desktop,02-07-2023,93,5,16,44,8,Dropped,No,,Negative
STU0161,32,Male,Pune,Bachelor's,Job Seeker,Machine Learning Basics,AI/ML,5999,Mobile,03-06-2024,20,8,16,86,2,Dropped,No,,Neutral
STU0162,32,Male,Kolkata,High School,Job Seeker,Excel for Analytics,BI Tools,1499,Mobile,19-04-2023,33,20,17,23,2,Dropped,No,,Neutral
STU0163,43,Female,Kolkata,Bachelor's,Working Professional,Python for Beginners,Programming,1999,Desktop,02-10-2024,105,11,1,98,5,Completed,Yes,3.5,Positive
STU0164,27,Female,Mumbai,High School,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,02-11-2023,108,29,3,93,1,Completed,Yes,4.6,Positive
STU0165,30,Female,Chennai,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Mobile,16-10-2024,100,30,18,35,22,Completed,Yes,3.7,Neutral
STU0166,36,Male,Pune,Bachelor's,Job Seeker,Power BI Masterclass,BI Tools,3499,Mobile,03-06-2024,86,39,10,38,4,Dropped,No,,Negative
STU0167,24,Female,Delhi,Bachelor's,Freelancer,Statistics for Data Science,Data Analytics,3999,Mobile,15-09-2024,77,3,16,48,6,Dropped,No,,Neutral
STU0168,34,Male,Bangalore,Bachelor's,Working Professional,SQL Fundamentals,Data Analytics,2499,Mobile,23-07-2023,7,30,11,70,23,Dropped,No,,Negative
