Student_ID,Age,Gender,City,Education_Level,Employment_Status,Course_Name,Course_Category,Course_Fee_INR,Device_Used,Enrollment_Date,Time_Spent_Hours,Videos_Watched,Assignments_Submitted,Quiz_Score,Login_Frequency_Per_Month,Completion_Status,Certificate_Earned,Course_Rating,Feedback_Sentiment,Completion_Flag,Age_Group
STU0022,41,Male,Pune,Master's,Job Seeker,Python for Beginners,Programming,1999,Mobile,2024-07-28,72,23,7,43,28,Completed,Yes,3.8,Positive,1,38-44
STU0023,29,Male,Delhi,Bachelor's,Student,Excel for Analytics,BI Tools,1499,Desktop,2023-07-23,78,47,15,80,7,Completed,Yes,3.7,Positive,1,25-30
STU0024,23,Female,Ahmedabad,Master's,Working Professional,Python for Beginners,Programming,1999,Desktop,2024-10-27,33,43,14,37,27,Dropped,No,0.0,Negative,0,18-24
STU0025,19,Male,Delhi,High School,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,2024-07-12,87,32,12,28,4,Dropped,No,0.0,Negative,0,18-24
STU0026,38,Male,Mumbai,Master's,Job Seeker,Digital Marketing Analytics,Marketing,3999,Mobile,2024-03-05,21,40,19,36,21,Dropped,No,0.0,Neutral,0,38-44
STU0027,18,Female,Delhi,Bachelor's,Student,SQL Fundamentals,Data Analytics,2499,Mobile,2023-08-14,55,48,14,77,9,Completed,Yes,4.5,Negative,1,18-24
STU0028,29,Female,Mumbai,Bachelor's,Job Seeker,SQL Fundamentals,Data Analytics,2499,Mobile,2024-04-04,76,9,17,32,22,Dropped,No,0.0,Negative,0,25-30
STU0029,43,Female,Pune,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Mobile,2024-08-26,57,17,12,69,16,Dropped,No,0.0,Negative,0,38-44
STU0030,39,Female,Delhi,Master's,Job Seeker,Power BI Masterclass,BI Tools,3499,Mobile,2023-10-12,2,18,7,25,26,Dropped,No,0.0,Negative,0,38-44
STU0031,29,Female,Hyderabad,High School,Job Seeker,SQL Fundamentals,Data Analytics,2499,Mobile,2023-01-07,13,6,13,70,13,Dropped,No,0.0,Neutral,0,25-30
STU0032,42,Female,Kolkata,Master's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,2023-06-13,4,18,10,55,4,Dropped,No,0.0,Negative,0,38-44
STU0033,34,Male,Hyderabad,Master's,Student,SQL Fundamentals,Data Analytics,2499,Mobile,2024-03-08,84,23,5,90,24,Completed,Yes,3.3,Positive,1,31-37
STU0034,44,Male,Pune,Bachelor's,Student,Web Development with HTML/CSS,Programming,2999,Mobile,2023-12-15,50,14,0,44,9,Dropped,No,0.0,Neutral,0,38-44
STU0035,44,Male,Mumbai,Master's,Working Professional,Data Science with Python,Data Analytics,4999,Mobile,2023-10-12,115,40,1,30,26,Completed,Yes,3.1,Neutral,1,38-44
STU0036,27,Male,Hyderabad,Master's,Student,Python for Beginners,Programming,1999,Tablet,2023-06-09,48,41,12,63,21,Completed,Yes,4.9,Positive,1,25-30
STU0037,33,Female,Mumbai,Bachelor's,Student,Machine Learning Basics,AI/ML,5999,Mobile,2023-08-09,78,22,0,33,18,Dropped,No,0.0,Negative,0,31-37
STU0038,32,Male,Hyderabad,Bachelor's,Working Professional,Digital Marketing Analytics,Marketing,3999,Desktop,2023-12-11,30,3,3,48,15,Dropped,No,0.0,Negative,0,31-37
STU0039,32,Male,Hyderabad,Bachelor's,Student,Python for Beginners,Programming,1999,Mobile,2023-04-15,29,37,1,93,15,Completed,Yes,3.2,Positive,1,31-37
STU0040,36,Male,Mumbai,Bachelor's,Student,Statistics for Data Science,Data Analytics,3999,Tablet,2023-04-05,8,3,19,69,6,Dropped,No,0.0,Negative,0,31-37
STU0041,29,Male,Chennai,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,2024-01-25,12,4,15,24,11,Dropped,No,0.0,Neutral,0,25-30
STU0042,40,Female,Hyderabad,Master's,Student,SQL Fundamentals,Data Analytics,2499,Tablet,2023-04-10,41,40,2,91,28,Completed,Yes,4.8,Neutral,1,38-44
STU0043,37,Male,Delhi,High School,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,2024-01-03,102,43,16,88,8,Completed,Yes,4.3,Positive,1,31-37
STU0044,42,Female,Kolkata,Master's,Working Professional,Power BI Masterclass,BI Tools,3499,Mobile,2023-12-19,26,22,4,76,29,Completed,Yes,4.5,Neutral,1,38-44
STU0045,20,Male,Pune,Bachelor's,Working Professional,Python for Beginners,Programming,1999,Desktop,2024-09-10,50,39,7,45,21,Completed,Yes,3.4,Positive,1,18-24
STU0046,22,Female,Chennai,Bachelor's,Job Seeker,Business Intelligence,BI Tools,4499,Desktop,2023-09-28,2,36,11,25,17,Dropped,No,0.0,Negative,0,18-24
STU0047,36,Female,Mumbai,Master's,Working Professional,SQL Fundamentals,Data Analytics,2499,Mobile,2023-02-14,55,10,11,35,24,Dropped,No,0.0,Negative,0,31-37
STU0048,24,Male,Chennai,Master's,Working Professional,Statistics for Data Science,Data Analytics,3999,Desktop,2024-04-15,104,10,0,79,25,Completed,Yes,4.7,Positive,1,18-24
STU0049,38,Female,Bangalore,Bachelor's,Working Professional,Power BI Masterclass,BI Tools,3499,Tablet,2024-07-03,56,12,0,31,17,Dropped,No,0.0,Negative,0,38-44
STU0050,26,Male,Bangalore,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Desktop,2023-05-08,14,13,14,94,24,Dropped,No,0.0,Negative,0,25-30
STU0051,24,Male,Hyderabad,Bachelor's,Job Seeker,Power BI Masterclass,BI Tools,3499,Mobile,2024-01-23,6,7,16,22,26,Dropped,No,0.0,Negative,0,18-24
STU0052,35,Female,Hyderabad,High School,Job Seeker,Python for Beginners,Programming,1999,Desktop,2023-03-22,106,24,1,82,28,Completed,Yes,3.5,Negative,1,31-37
STU0053,21,Male,Delhi,Bachelor's,Working Professional,Excel for Analytics,BI Tools,1499,Desktop,2024-07-19,104,17,16,83,18,Completed,Yes,4.1,Positive,1,18-24
STU0054,42,Male,Kolkata,Bachelor's,Student,Excel for Analytics,BI Tools,1499,Desktop,2023-10-28,95,43,19,81,4,Completed,Yes,3.5,Positive,1,38-44
STU0055,31,Female,Pune,Bachelor's,Student,Web Development with HTML/CSS,Programming,2999,Desktop,2024-10-05,81,43,8,25,29,Completed,Yes,3.2,Positive,1,31-37
STU0056,35,Male,Chennai,Master's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,2024-09-25,89,17,11,38,15,Dropped,No,0.0,Neutral,0,31-37
STU0057,43,Female,Bangalore,Bachelor's,Job Seeker,Power BI Masterclass,BI Tools,3499,Tablet,2024-01-06,61,9,3,37,2,Dropped,No,0.0,Neutral,0,38-44
STU0058,26,Male,Hyderabad,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Mobile,2024-08-14,96,6,12,99,2,Completed,Yes,4.5,Positive,1,25-30
STU0059,43,Female,Ahmedabad,Bachelor's,Freelancer,Power BI Masterclass,BI Tools,3499,Mobile,2023-07-16,12,49,3,62,10,Dropped,No,0.0,Neutral,0,38-44
STU0060,38,Female,Ahmedabad,Master's,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,2023-03-13,113,43,6,92,3,Completed,No,3.5,Positive,1,38-44
STU0061,19,Female,Pune,Master's,Job Seeker,Machine Learning Basics,AI/ML,5999,Desktop,2023-02-16,13,13,13,22,8,Dropped,No,0.0,Neutral,0,18-24
STU0062,37,Female,Chennai,Bachelor's,Student,Power BI Masterclass,BI Tools,3499,Mobile,2024-11-08,19,14,8,91,20,Dropped,No,0.0,Negative,0,31-37
STU0063,32,Male,Hyderabad,Master's,Student,SQL Fundamentals,Data Analytics,2499,Desktop,2023-08-22,44,15,0,57,7,Dropped,No,0.0,Negative,0,31-37
STU0064,24,Female,Hyderabad,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,2023-10-24,112,1,0,87,12,Completed,Yes,3.1,Positive,1,18-24
STU0065,29,Male,Bangalore,Bachelor's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,2023-03-23,89,29,19,95,26,Completed,Yes,4.8,Neutral,1,25-30
STU0066,25,Male,Bangalore,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,2023-08-27,95,29,3,63,19,Completed,Yes,3.5,Positive,1,25-30
STU0067,32,Male,Hyderabad,Bachelor's,Job Seeker,Machine Learning Basics,AI/ML,5999,Mobile,2023-04-14,59,17,0,99,26,Completed,Yes,3.5,Negative,1,31-37
STU0068,20,Female,Mumbai,Master's,Student,Statistics for Data Science,Data Analytics,3999,Mobile,2024-01-25,37,30,9,82,28,Completed,Yes,3.2,Positive,1,18-24
STU0069,31,Male,Hyderabad,Master's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,2023-10-12,25,43,1,61,15,Dropped,No,0.0,Neutral,0,31-37
STU0070,34,Female,Pune,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Tablet,2024-04-09,16,47,14,83,14,Completed,Yes,3.7,Positive,1,31-37
STU0071,21,Female,Hyderabad,Bachelor's,Student,Machine Learning Basics,AI/ML,5999,Mobile,2024-10-12,38,12,2,73,16,Dropped,No,0.0,Negative,0,18-24
STU0072,35,Female,Delhi,Bachelor's,Job Seeker,Statistics for Data Science,Data Analytics,3999,Mobile,2024-01-09,43,19,8,97,29,Completed,Yes,3.9,Positive,1,31-37
STU0073,25,Male,Kolkata,Bachelor's,Freelancer,Data Science with Python,Data Analytics,4999,Desktop,2023-06-16,113,48,16,96,27,Completed,No,4.4,Neutral,1,25-30
STU0074,21,Female,Delhi,Bachelor's,Freelancer,SQL Fundamentals,Data Analytics,2499,Desktop,2024-01-15,87,49,12,90,14,Completed,Yes,3.3,Positive,1,18-24
STU0075,19,Male,Delhi,Bachelor's,Job Seeker,Data Science with Python,Data Analytics,4999,Mobile,2023-12-30,14,34,2,95,3,Dropped,No,0.0,Neutral,0,18-24
STU0076,23,Male,Mumbai,Bachelor's,Freelancer,SQL Fundamentals,Data Analytics,2499,Desktop,2023-08-03,6,22,3,56,18,Dropped,No,0.0,Neutral,0,18-24
STU0077,39,Male,Mumbai,Bachelor's,Student,Python for Beginners,Programming,1999,Mobile,2024-11-17,89,41,3,23,29,Completed,Yes,4.9,Positive,1,38-44
STU0078,27,Male,Ahmedabad,Bachelor's,Freelancer,Digital Marketing Analytics,Marketing,3999,Tablet,2023-10-01,23,32,10,21,28,Dropped,No,0.0,Neutral,0,25-30
STU0079,21,Female,Hyderabad,Bachelor's,Working Professional,Machine Learning Basics,AI/ML,5999,Mobile,2024-11-30,60,37,6,63,22,Completed,No,5.0,Negative,1,18-24
STU0080,39,Female,Delhi,Master's,Student,Data Science with Python,Data Analytics,4999,Mobile,2024-10-25,107,34,10,86,6,Completed,Yes,3.3,Positive,1,38-44
STU0081,35,Male,Mumbai,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,2023-03-15,12,35,10,87,17,Dropped,No,0.0,Negative,0,31-37
STU0082,43,Male,Bangalore,PhD,Freelancer,Machine Learning Basics,AI/ML,5999,Mobile,2024-09-15,13,19,9,95,23,Dropped,No,0.0,Negative,0,38-44
STU0083,29,Male,Hyderabad,Bachelor's,Freelancer,Web Development with HTML/CSS,Programming,2999,Desktop,2024-10-12,100,2,4,93,28,Completed,Yes,4.3,Neutral,1,25-30
STU0084,19,Male,Pune,Master's,Student,Python for Beginners,Programming,1999,Mobile,2023-06-25,103,7,12,81,14,Completed,Yes,4.8,Negative,1,18-24
STU0085,27,Female,Kolkata,Master's,Freelancer,Web Development with HTML/CSS,Programming,2999,Mobile,2024-06-30,98,39,11,20,14,Completed,Yes,4.0,Neutral,1,25-30
STU0086,21,Male,Chennai,Master's,Job Seeker,SQL Fundamentals,Data Analytics,2499,Desktop,2023-09-08,6,31,9,36,20,Dropped,No,0.0,Negative,0,18-24
STU0087,31,Male,Hyderabad,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Desktop,2023-06-17,63,28,6,35,13,Dropped,No,0.0,Negative,0,31-37
STU0088,33,Male,Chennai,Master's,Student,Machine Learning Basics,AI/ML,5999,Mobile,2024-04-18,38,6,18,28,27,Dropped,No,0.0,Negative,0,31-37
STU0089,32,Female,Delhi,Bachelor's,Freelancer,Power BI Masterclass,BI Tools,3499,Mobile,2024-01-24,50,1,18,72,28,Dropped,No,0.0,Negative,0,31-37
STU0090,25,Female,Kolkata,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,2023-10-04,52,20,18,92,3,Dropped,No,0.0,Neutral,0,25-30
STU0091,31,Female,Chennai,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,2024-10-17,40,5,11,78,13,Dropped,No,0.0,Negative,0,31-37
STU0092,40,Female,Delhi,Bachelor's,Student,Statistics for Data Science,Data Analytics,3999,Mobile,2024-07-24,8,27,19,28,29,Dropped,No,0.0,Negative,0,38-44
STU0093,42,Female,Bangalore,High School,Working Professional,Data Science with Python,Data Analytics,4999,Desktop,2023-08-13,61,47,14,31,24,Completed,Yes,4.3,Positive,1,38-44
STU0094,25,Male,Chennai,Master's,Freelancer,Machine Learning Basics,AI/ML,5999,Desktop,2023-11-29,8,41,4,60,2,Dropped,No,0.0,Neutral,0,25-30
STU0095,38,Female,Kolkata,Master's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,2023-02-27,104,35,13,34,9,Completed,Yes,4.5,Positive,1,38-44
STU0096,33,Female,Ahmedabad,Bachelor's,Job Seeker,Excel for Analytics,BI Tools,1499,Mobile,2023-08-23,97,31,11,85,13,Completed,Yes,3.6,Negative,1,31-37
STU0097,30,Female,Hyderabad,Master's,Job Seeker,Statistics for Data Science,Data Analytics,3999,Mobile,2023-02-02,34,44,10,94,8,Completed,Yes,3.6,Positive,1,25-30
STU0098,35,Female,Delhi,Bachelor's,Freelancer,SQL Fundamentals,Data Analytics,2499,Mobile,2023-11-20,108,41,4,30,16,Completed,Yes,3.1,Neutral,1,31-37
STU0099,32,Female,Hyderabad,PhD,Working Professional,Digital Marketing Analytics,Marketing,3999,Mobile,2024-02-15,79,45,15,27,24,Completed,Yes,4.5,Neutral,1,31-37
STU0100,38,Female,Kolkata,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Tablet,2023-10-02,100,8,17,74,29,Completed,Yes,4.3,Negative,1,38-44
STU0101,41,Other,Mumbai,Bachelor's,Working Professional,Excel for Analytics,BI Tools,1499,Desktop,2023-03-09,60,10,11,25,3,Dropped,No,0.0,Negative,0,38-44
STU0102,43,Female,Delhi,Master's,Student,Digital Marketing Analytics,Marketing,3999,Tablet,2023-08-05,57,22,4,72,13,Dropped,No,0.0,Negative,0,38-44
STU0103,42,Female,Chennai,Master's,Job Seeker,Statistics for Data Science,Data Analytics,3999,Desktop,2024-08-03,99,49,15,39,4,Completed,No,3.5,Positive,1,38-44
STU0104,30,Female,Delhi,Master's,Working Professional,Digital Marketing Analytics,Marketing,3999,Desktop,2023-11-19,46,10,11,58,18,Dropped,No,0.0,Neutral,0,25-30
STU0105,26,Male,Hyderabad,PhD,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,2023-08-06,22,48,1,91,2,Dropped,No,0.0,Negative,0,25-30
STU0106,32,Female,Bangalore,Master's,Student,Data Science with Python,Data Analytics,4999,Mobile,2024-11-02,87,1,5,53,20,Dropped,No,0.0,Negative,0,31-37
STU0107,30,Male,Delhi,Bachelor's,Freelancer,Business Intelligence,BI Tools,4499,Desktop,2024-05-26,40,2,3,76,22,Dropped,No,0.0,Negative,0,25-30
STU0108,18,Female,Chennai,Master's,Job Seeker,Data Science with Python,Data Analytics,4999,Tablet,2024-02-10,45,10,12,38,21,Dropped,No,0.0,Negative,0,18-24
STU0109,42,Other,Mumbai,Master's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,2024-10-20,55,49,9,90,15,Completed,No,4.5,Positive,1,38-44
STU0110,24,Female,Ahmedabad,Bachelor's,Job Seeker,Power BI Masterclass,BI Tools,3499,Desktop,2024-04-14,51,34,16,50,17,Dropped,No,0.0,Negative,0,18-24
STU0111,26,Male,Pune,Master's,Student,Data Science with Python,Data Analytics,4999,Mobile,2023-05-27,86,14,13,59,29,Completed,Yes,4.7,Positive,1,25-30
STU0112,41,Male,Bangalore,Bachelor's,Working Professional,Statistics for Data Science,Data Analytics,3999,Desktop,2023-09-29,5,42,14,33,10,Dropped,No,0.0,Neutral,0,38-44
STU0113,18,Male,Ahmedabad,Master's,Job Seeker,Python for Beginners,Programming,1999,Tablet,2023-05-23,95,10,7,56,1,Dropped,No,0.0,Neutral,0,18-24
STU0114,29,Female,Mumbai,Master's,Working Professional,Power BI Masterclass,BI Tools,3499,Desktop,2023-09-10,13,30,17,63,6,Dropped,No,0.0,Neutral,0,25-30
STU0115,25,Male,Delhi,Master's,Job Seeker,Business Intelligence,BI Tools,4499,Desktop,2024-07-28,28,27,2,28,3,Dropped,No,0.0,Negative,0,25-30
STU0116,41,Male,Hyderabad,Master's,Student,Business Intelligence,BI Tools,4499,Desktop,2024-07-05,84,27,16,77,19,Completed,Yes,3.1,Positive,1,38-44
STU0117,28,Male,Kolkata,Master's,Student,Power BI Masterclass,BI Tools,3499,Desktop,2023-09-27,97,31,6,39,7,Dropped,No,0.0,Neutral,0,25-30
STU0118,36,Female,Hyderabad,Bachelor's,Job Seeker,Business Intelligence,BI Tools,4499,Tablet,2024-08-21,80,24,12,69,13,Completed,Yes,4.8,Negative,1,31-37
STU0119,34,Female,Ahmedabad,Master's,Student,Machine Learning Basics,AI/ML,5999,Desktop,2024-03-14,62,19,15,39,13,Dropped,No,0.0,Negative,0,31-37
STU0120,25,Male,Chennai,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Desktop,2024-08-20,93,27,4,55,17,Completed,Yes,3.8,Positive,1,25-30
STU0121,20,Male,Hyderabad,Bachelor's,Job Seeker,Statistics for Data Science,Data Analytics,3999,Desktop,2024-02-13,87,24,3,46,1,Dropped,No,0.0,Neutral,0,18-24
STU0122,20,Female,Bangalore,Bachelor's,Student,Machine Learning Basics,AI/ML,5999,Desktop,2024-01-06,24,10,9,91,14,Dropped,No,0.0,Neutral,0,18-24
STU0123,18,Female,Hyderabad,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Desktop,2023-08-13,98,18,12,51,29,Completed,Yes,4.7,Positive,1,18-24
STU0124,44,Female,Chennai,Bachelor's,Student,Data Science with Python,Data Analytics,4999,Desktop,2023-05-22,7,27,9,20,26,Dropped,No,0.0,Neutral,0,38-44
STU0125,22,Male,Pune,Master's,Working Professional,Machine Learning Basics,AI/ML,5999,Desktop,2024-06-05,38,0,13,36,3,Dropped,No,0.0,Negative,0,18-24
STU0126,27,Female,Delhi,Bachelor's,Student,Data Science with Python,Data Analytics,4999,Mobile,2024-05-20,37,4,11,28,14,Dropped,No,0.0,Neutral,0,25-30
STU0127,24,Male,Kolkata,Bachelor's,Student,Power BI Masterclass,BI Tools,3499,Mobile,2023-04-04,68,9,0,64,24,Completed,Yes,4.9,Positive,1,18-24
STU0128,43,Female,Ahmedabad,High School,Working Professional,Digital Marketing Analytics,Marketing,3999,Mobile,2023-02-18,98,41,19,85,1,Completed,Yes,3.1,Neutral,1,38-44
STU0129,26,Female,Delhi,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Mobile,2023-04-23,42,45,19,51,16,Dropped,No,0.0,Negative,0,25-30
STU0130,24,Male,Hyderabad,Bachelor's,Job Seeker,Business Intelligence,BI Tools,4499,Mobile,2023-06-06,86,33,6,64,10,Completed,Yes,4.7,Negative,1,18-24
STU0131,26,Male,Mumbai,High School,Job Seeker,Web Development with HTML/CSS,Programming,2999,Desktop,2024-10-04,5,35,8,28,13,Dropped,No,0.0,Negative,0,25-30
STU0132,25,Female,Delhi,Bachelor's,Freelancer,Python for Beginners,Programming,1999,Mobile,2023-06-13,64,1,7,49,4,Dropped,No,0.0,Negative,0,25-30
STU0133,29,Female,Pune,Bachelor's,Working Professional,Data Science with Python,Data Analytics,4999,Mobile,2024-11-27,50,17,12,57,9,Dropped,No,0.0,Negative,0,25-30
STU0134,19,Female,Hyderabad,High School,Job Seeker,Machine Learning Basics,AI/ML,5999,Desktop,2024-03-08,106,12,13,79,14,Completed,Yes,4.6,Positive,1,18-24
STU0135,18,Female,Kolkata,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Tablet,2024-09-02,87,4,11,20,4,Dropped,No,0.0,Neutral,0,18-24
STU0136,33,Female,Chennai,Bachelor's,Freelancer,SQL Fundamentals,Data Analytics,2499,Desktop,2023-03-07,118,19,7,24,10,Dropped,No,0.0,Negative,0,31-37
STU0137,40,Female,Pune,Master's,Job Seeker,Business Intelligence,BI Tools,4499,Tablet,2024-01-30,15,1,17,82,8,Dropped,No,0.0,Negative,0,38-44
STU0138,40,Male,Hyderabad,Master's,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,2024-01-26,95,10,15,55,23,Completed,Yes,3.4,Neutral,1,38-44
STU0139,41,Female,Pune,Bachelor's,Working Professional,Machine Learning Basics,AI/ML,5999,Mobile,2024-09-02,73,29,10,84,3,Completed,Yes,4.5,Negative,1,38-44
STU0140,22,Male,Delhi,PhD,Job Seeker,Machine Learning Basics,AI/ML,5999,Desktop,2024-04-24,107,31,15,97,23,Completed,Yes,4.7,Positive,1,18-24
STU0141,20,Male,Kolkata,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Desktop,2024-06-25,53,31,13,92,7,Completed,Yes,3.6,Positive,1,18-24
STU0142,29,Other,Chennai,Bachelor's,Freelancer,Excel for Analytics,BI Tools,1499,Mobile,2023-09-15,25,49,2,43,10,Dropped,No,0.0,Negative,0,25-30
STU0143,25,Male,Hyderabad,PhD,Student,Statistics for Data Science,Data Analytics,3999,Mobile,2024-07-20,89,37,1,23,3,Dropped,No,0.0,Negative,0,25-30
STU0144,39,Male,Bangalore,Bachelor's,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,2023-01-12,113,27,2,97,2,Completed,Yes,3.1,Neutral,1,38-44
STU0145,44,Male,Ahmedabad,Master's,Student,Web Development with HTML/CSS,Programming,2999,Mobile,2024-11-27,85,9,3,87,15,Completed,No,3.6,Negative,1,38-44
STU0146,20,Female,Chennai,High School,Freelancer,Statistics for Data Science,Data Analytics,3999,Desktop,2023-04-28,9,21,4,44,9,Dropped,No,0.0,Neutral,0,18-24
STU0147,18,Male,Bangalore,Bachelor's,Student,SQL Fundamentals,Data Analytics,2499,Mobile,2024-11-29,119,16,9,93,15,Completed,Yes,4.2,Neutral,1,18-24
STU0148,20,Male,Pune,High School,Job Seeker,Excel for Analytics,BI Tools,1499,Desktop,2024-07-03,112,21,19,26,17,Completed,Yes,4.9,Positive,1,18-24
STU0149,22,Male,Mumbai,Master's,Student,Web Development with HTML/CSS,Programming,2999,Desktop,2023-10-01,38,42,1,32,7,Dropped,No,0.0,Neutral,0,18-24
STU0150,32,Male,Chennai,Bachelor's,Student,SQL Fundamentals,Data Analytics,2499,Mobile,2024-10-18,22,18,11,87,20,Dropped,No,0.0,Negative,0,31-37
STU0151,31,Male,Pune,Master's,Working Professional,Statistics for Data Science,Data Analytics,3999,Mobile,2023-12-15,107,16,4,62,18,Completed,Yes,3.7,Positive,1,31-37
STU0152,20,Male,Bangalore,Bachelor's,Freelancer,Data Science with Python,Data Analytics,4999,Desktop,2023-04-25,87,23,4,76,15,Completed,Yes,3.9,Negative,1,18-24
STU0153,18,Female,Delhi,Bachelor's,Student,Machine Learning Basics,AI/ML,5999,Desktop,2023-10-28,49,35,0,55,18,Dropped,No,0.0,Neutral,0,18-24
